Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Cristiano Ronaldo,02-Mar,Liga Portugal,6,07/10/2002,H,Sporting CP,Moreirense FC,3:00,LW,34,2:00,Solo run,
Cristiano Ronaldo,02-Mar,Liga Portugal,6,07/10/2002,H,Sporting CP,Moreirense FC,3:00,LW,90+5,3:00,Header,Rui Jorge
Cristiano Ronaldo,02-Mar,Liga Portugal,8,26/10/2002,A,Sporting CP,Boavista FC,1:02,,88,1:02,Right-footed shot,Carlos Martins
Cristiano Ronaldo,02-Mar,Taca de Portugal Placard,Fourth Round,24/11/2002,H,Sporting CP,CD Estarreja,4:01,,67,3:00,Left-footed shot,Cesar Prates
Cristiano Ronaldo,02-Mar,Taca de Portugal Placard,Fifth Round,18/12/2002,H,Sporting CP,FC Oliveira do Hospital,8:01,,13,3:00,,
Cristiano Ronaldo,03-Apr,Premier League,11,01/11/2003,H,Manchester United,Portsmouth FC,3:00,RW,80,2:00,Direct free kick,
Cristiano Ronaldo,03-Apr,FA Cup,Fifth Round,14/02/2004,H,Manchester United,Manchester City,4:02,RW,74,3:00,Right-footed shot,
Cristiano Ronaldo,03-Apr,Premier League,29,20/03/2004,H,Manchester United,Tottenham Hotspur,3:00,,89,2:00,Right-footed shot,
Cristiano Ronaldo,03-Apr,Premier League,32,10/04/2004,A,Manchester United,Birmingham City,1:02,,60,1:01,Header,Ryan Giggs
Cristiano Ronaldo,03-Apr,Premier League,38,15/05/2004,A,Manchester United,Aston Villa,0:02,,4,0:01,Right-footed shot,
Cristiano Ronaldo,03-Apr,FA Cup,Final,22/05/2004,H,Manchester United,Millwall FC,3:00,RW,44,1:00,Header,Gary Neville
Cristiano Ronaldo,04-May,Premier League,16,04/12/2004,H,Manchester United,Southampton FC,3:00,,87,3:00,Right-footed shot,Gary Neville
Cristiano Ronaldo,04-May,FA Cup,Third Round,19/01/2005,A,Manchester United,Exeter City,0:02,,9,0:01,,Paul Scholes
Cristiano Ronaldo,04-May,Premier League,24,22/01/2005,H,Manchester United,Aston Villa,3:01,,8,1:00,Right-footed shot,Louis Saha
Cristiano Ronaldo,04-May,Premier League,25,01/02/2005,A,Manchester United,Arsenal FC,2:04,RW,54,2:02,Left-footed shot,Ryan Giggs
Cristiano Ronaldo,04-May,Premier League,25,01/02/2005,A,Manchester United,Arsenal FC,2:04,RW,58,2:03,Tap-in,Ryan Giggs
Cristiano Ronaldo,04-May,FA Cup,Fifth Round,19/02/2005,A,Manchester United,Everton FC,0:02,,58,0:02,Tap-in,Paul Scholes
Cristiano Ronaldo,04-May,FA Cup,Sixth Round,12/03/2005,A,Manchester United,Southampton FC,0:04,,45+1,0:02,Left-footed shot,Ruud van Nistelrooy
Cristiano Ronaldo,04-May,Premier League,30,19/03/2005,H,Manchester United,Fulham FC,1:00,,21,1:00,Right-footed shot,Roy Keane
Cristiano Ronaldo,04-May,FA Cup,Semi-Finals,17/04/2005,A,Manchester United,Newcastle United,1:04,RW,76,1:04,Right-footed shot,Ruud van Nistelrooy
Lionel Messi,04-May,LaLiga,34,01/05/2005,H,FC Barcelona,Albacete Balompie,2:00,CF,90+1,2:00,Left-footed shot,Ronaldinho Gaacho
Cristiano Ronaldo,05-Jun,UEFA Champions League Qualifying,3rd round,09/08/2005,H,Manchester United,Debreceni VSC,3:00,,63,3:00,Right-footed shot,Paul Scholes
Cristiano Ronaldo,05-Jun,Premier League,11,29/10/2005,A,Manchester United,Middlesbrough FC,4:01,,90,4:01,Header,Paul Scholes
Lionel Messi,05-Jun,UEFA Champions League,Group Stage,02/11/2005,H,FC Barcelona,Panathinaikos Athens,5:00,RW,34,3:00,Left-footed shot,
Lionel Messi,05-Jun,LaLiga,13,27/11/2005,H,FC Barcelona,Racing Santander,4:01,RW,51,2:00,Left-footed shot,Samuel Etoo
Cristiano Ronaldo,05-Jun,EFL Cup,Round of 16,30/11/2005,H,Manchester United,West Bromwich Albion,3:01,RW,12,1:01,Penalty,
Cristiano Ronaldo,05-Jun,Premier League,20,31/12/2005,H,Manchester United,Bolton Wanderers,4:01,,68,3:01,Right-footed shot,Wayne Rooney
Cristiano Ronaldo,05-Jun,Premier League,20,31/12/2005,H,Manchester United,Bolton Wanderers,4:01,,90,4:01,Left-footed shot,Ruud van Nistelrooy
Lionel Messi,05-Jun,LaLiga,19,15/01/2006,H,FC Barcelona,Athletic Bilbao,2:01,RW,50,2:01,Left-footed shot,Mark van Bommel
Lionel Messi,05-Jun,LaLiga,20,22/01/2006,H,FC Barcelona,Deportivo Alaves,2:00,CF,82,2:00,Left-footed shot,Ronaldinho Gaacho
Lionel Messi,05-Jun,LaLiga,21,29/01/2006,A,FC Barcelona,RCD Mallorca,0:03,CF,83,0:03,Left-footed shot,Ronaldinho Gaacho
Lionel Messi,05-Jun,LaLiga,21,29/01/2006,A,FC Barcelona,RCD Mallorca,0:03,CF,75,0:02,Right-footed shot,Sylvinho
Lionel Messi,05-Jun,Copa del Rey,Quarter-Finals,01/02/2006,H,FC Barcelona,Real Zaragoza,2:01,CF,42,1:00,Header,Ludovic Giuly
Cristiano Ronaldo,05-Jun,Premier League,25,04/02/2006,H,Manchester United,Fulham FC,4:02,,14,2:00,Direct free kick,
Cristiano Ronaldo,05-Jun,Premier League,25,04/02/2006,H,Manchester United,Fulham FC,4:02,,87,4:02,Right-footed shot,
Cristiano Ronaldo,05-Jun,Premier League,26,11/02/2006,A,Manchester United,Portsmouth FC,1:03,RW,38,0:02,Left-footed shot,
Cristiano Ronaldo,05-Jun,Premier League,26,11/02/2006,A,Manchester United,Portsmouth FC,1:03,RW,45,0:03,Right-footed shot,Wayne Rooney
Lionel Messi,05-Jun,LaLiga,24,18/02/2006,H,FC Barcelona,Real Betis Balompie,5:01,RW,84,5:01,Left-footed shot,
Cristiano Ronaldo,05-Jun,EFL Cup,Final,26/02/2006,H,Manchester United,Wigan Athletic,4:00,RW,59,3:00,,Louis Saha
Cristiano Ronaldo,05-Jun,Premier League,28,06/03/2006,A,Manchester United,Wigan Athletic,1:02,,74,1:01,Right-footed shot,Ruud van Nistelrooy
Cristiano Ronaldo,05-Jun,Premier League,38,07/05/2006,H,Manchester United,Charlton Athletic,4:00,RW,23,2:00,Left-footed shot,Ryan Giggs
Cristiano Ronaldo,06-Jul,Premier League,1,20/08/2006,H,Manchester United,Fulham FC,5:01,,19,4:00,,Wayne Rooney
Lionel Messi,06-Jul,LaLiga,1,28/08/2006,A,FC Barcelona,Celta de Vigo,2:03,LW,59,1:02,Left-footed shot,Andres Iniesta
Lionel Messi,06-Jul,LaLiga,2,09/09/2006,H,FC Barcelona,CA Osasuna,3:00,RW,36,3:00,Left-footed shot,Samuel Etoo
Cristiano Ronaldo,06-Jul,Premier League,6,23/09/2006,A,Manchester United,Reading FC,1:01,CF,73,1:01,,John OShea
